Price,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,c_DBSCAN,c_BIRCH,pca1,pca2,diff1,diff2,d_m3,d_m12,exp_0_05,exp_0_03,exp_0_08
383.457,1996,7,31,3,213,31,2,1,2,0.628764624172955,0.6342154562495722,-1.7879999876022339,-0.9079999923706055,386.8973333333327,389.6647500000001,382.37747658076336,379.7931220448564,386.1001557707712
387.51,1996,8,31,3,244,35,5,1,2,1.0591335592221693,-0.8120594685383737,4.052999973297119,10.79800033569336,385.40399999999937,389.99875000000003,382.63410275172515,380.0246283835107,386.21294330910956
383.29,1996,9,30,3,274,40,0,1,2,1.2647137199680443,1.3308342621473879,-4.21999979019165,-2.431999683380127,384.75233333333273,390.02866666666677,382.66689761413886,380.12258953200535,385.97910784438085
380.909,1996,10,31,4,305,44,3,1,2,2.3591573983929646,0.10661819565077268,-2.38100004196167,-6.434000015258789,383.9029999999995,389.8375833333334,382.57900273343193,380.1461818460452,385.5734992168304
377.869,1996,11,30,4,335,48,5,1,2,2.5695084558557735,-1.0614564404942923,-3.0399999618530273,1.179999828338623,380.68933333333285,389.2259166666667,382.34350259676035,380.0778663906638,384.95713927948395
369.338,1996,12,31,4,366,1,1,1,2,1.6678634161012407,1.5018681293821876,-8.531000137329102,-6.150000095367432,376.0386666666662,387.71700000000004,381.69322746692234,379.75567039894383,383.70760813712525
355.025,1997,1,31,1,31,5,4,0,0,-2.804750579772307,-0.2272496018293848,-14.312999725341797,-11.27299976348877,367.4106666666662,384.07783333333333,380.3598160935762,379.01375028697555,381.41299948615523
346.4,1997,2,28,1,59,9,4,0,0,-3.034435277482309,-0.8389236606886875,-8.625,-0.09399986267089844,356.92099999999954,379.20125,378.6618252888974,378.0353377783663,378.6119595272628
352.311,1997,3,31,1,90,14,0,0,0,-1.9780100885796421,1.6135326199156175,5.910999774932861,20.2239990234375,351.24533333333284,375.51783333333333,377.34428402445246,377.26360764501527,376.50788276508183
344.707,1997,4,30,2,120,18,2,0,0,-1.313860004597922,0.47159589587474243,-7.604000091552734,1.0209999084472656,347.8059999999994,371.50425,375.7124198232298,376.2869094156648,373.9638121438753
344.1,1997,5,31,2,151,22,5,0,0,-0.6732153526919119,-0.7787580827260628,-0.6069999933242798,-6.517999649047852,347.0393333333327,367.5134166666667,374.1317988320683,375.3213021331948,371.5747071723653
340.805,1997,6,30,2,181,27,0,0,0,-0.4676351919460373,1.3641356479596995,-3.2950000762939453,4.309000015258789,343.20399999999944,363.81008333333347,372.46545889046484,374.285813069199,369.11313059857616
323.78,1997,7,31,3,212,31,3,1,2,0.6268084864788838,0.1399195814630844,-17.024999618530273,-16.417999267578125,336.2283333333327,358.83700000000005,370.0311859459416,372.770638677123,365.48648015069006
323.998,1997,8,31,3,243,35,6,1,2,1.0571774215280978,-1.3063553433248623,0.21799999475479126,3.513000011444092,329.52766666666605,353.5443333333333,367.72952664864454,371.3074595168093,362.1674017386349
322.616,1997,9,30,3,273,40,1,1,2,1.2627575822739723,0.8365383873608994,-1.3819999694824219,15.642999649047852,323.46466666666606,348.4881666666667,365.4738503162123,369.846715731305,359.00328959954413
324.863,1997,10,31,4,304,44,4,1,2,2.3572012606988935,-0.38767767913571494,2.246999979019165,2.0290000438690186,323.8256666666661,343.81766666666675,363.44330780040167,368.4972042593658,356.2720664315806
306.345,1997,11,30,4,334,48,6,1,2,2.567552318161702,-1.5557523152807802,-18.51799964904785,-17.13599967956543,317.94133333333275,337.85733333333343,360.5883924103816,366.6326381315848,352.27790111705417
288.776,1997,12,31,4,365,1,2,1,2,1.665907278407168,1.0075722545956998,-17.569000244140625,-19.81599998474121,306.6613333333328,331.1438333333334,356.9977727898625,364.29693898763725,347.19774902768984
289.264,1998,1,31,1,31,5,5,0,0,-2.801870066143977,-0.7212901585424627,0.4880000054836273,19.006000518798828,294.7949999999994,325.66375000000005,353.6110841503694,362.0459508180081,342.56304910547465
297.743,1998,2,28,1,59,9,5,0,0,-3.0315547638539786,-1.3329642174017653,8.479000091552734,26.04800033569336,291.927666666666,321.60900000000004,350.81767994285093,360.1168622934679,338.97744517703666
295.87,1998,3,31,1,90,14,1,0,0,-1.975129574951312,1.1194920632025398,-1.8730000257492065,-2.3610000610351562,294.29233333333264,316.90558333333337,348.0702959457084,358.18945642466383,335.52884956287375
308.558,1998,4,30,2,120,18,3,0,0,-1.3109794909695922,-0.02244466083833529,12.687999725341797,4.2089996337890625,300.72366666666596,313.8931666666668,346.094681148423,356.7005127319239,333.3711815978439
298.971,1998,5,31,2,151,22,6,0,0,-0.6703348390635828,-1.2727986394391406,-9.586999893188477,-7.7139997482299805,301.13299999999936,310.13241666666676,343.7384970910018,354.96862734996614,330.6191670700164
292.223,1998,6,30,2,181,27,1,0,0,-0.4647546783177079,0.8700950912466218,-6.748000144958496,-19.43600082397461,299.9173333333327,306.08391666666677,341.1627222364517,353.0862585294671,327.5474737044151
292.874,1998,7,31,3,212,31,4,1,2,0.6296890001072132,-0.3541209752499933,0.6510000228881836,10.23799991607666,294.6893333333326,303.5084166666668,338.74828612462915,351.2798907735831,324.7735958080619
284.228,1998,8,31,3,243,36,0,1,2,1.0552870384394937,1.5105724667928875,-8.645999908447266,-1.8979997634887695,289.77499999999935,300.1942500000001,336.0222718183977,349.2683340503756,321.52994814341696
288.661,1998,9,30,3,273,40,2,1,2,1.2656380959023021,0.3424978306478224,4.433000087738037,3.7820000648498535,288.58766666666605,297.3646666666668,333.6542082274778,347.45011402886433,318.9004322919436
296.595,1998,10,31,4,304,44,5,1,2,2.360081774327223,-0.8817182358487926,7.934000015258789,16.579999923706055,289.82799999999935,295.0090000000001,331.80124781610385,345.9244606079984,317.1159977085881
294.243,1998,11,30,4,334,49,0,1,2,2.5656619350730976,1.2611754948369696,-2.3519999980926514,-6.784999847412109,293.16633333333266,294.0005000000001,329.92333542529866,344.37401678975846,315.2861578919011
291.357,1998,12,31,4,365,53,3,1,2,3.2063065869791068,0.010821516236164591,-2.885999917984009,-10.819999694824219,294.0649999999993,294.2155833333334,327.99501865403374,342.7835062860657,313.37182526054903
287.33299999999997,1999,1,31,1,31,4,6,0,0,-2.828557221649178,-1.2056632117623396,-4.02400016784668,-1.6720001697540283,290.977666666666,294.0546666666668,325.96191772133204,341.1199910974837,311.28871923970513
287.495,1999,2,28,1,59,8,6,0,0,-3.0582419193591797,-1.8173372706216422,0.16200000047683716,3.047999858856201,288.7283333333327,293.2006666666668,324.03857183526543,339.51124136455917,309.38522170052875
286.243,1999,3,31,1,90,13,2,0,0,-2.0018167304565138,0.6351190099826635,-1.2519999742507935,2.772000312805176,287.02366666666603,292.3984166666668,322.1487932435021,337.91319412362236,307.53384396448644
282.62,1999,4,30,2,120,17,4,0,0,-1.3376666464747937,-0.5068177140582117,-3.622999906539917,-3.7849998474121094,285.452666666666,290.2369166666668,320.172353581327,336.25439829991365,305.54073644732756
276.932,1999,5,31,2,151,22,0,0,0,-0.7017928912857176,1.5537966741718097,-5.688000202178955,-4.436000347137451,281.93166666666605,288.40033333333344,318.01033590226064,334.4747263509162,303.25203753154136
261.402,1999,6,30,2,181,26,2,0,0,-0.49144183382290935,0.38572203802674526,-15.529999732971191,-11.906999588012695,273.65133333333273,285.8319166666668,315.1799191071476,332.2825445603887,299.9040345290181
256.198,1999,7,31,3,212,30,5,1,2,0.6030018446020117,-0.8384940284698698,-5.203999996185303,0.48400020599365234,264.8439999999994,282.7755833333335,312.2308231517902,330.0000082235771,296.40755176669666
256.936,1999,8,31,3,243,35,1,1,2,1.028599882934292,1.0261994135730108,0.7379999756813049,16.26799964904785,258.17866666666606,280.50125000000014,309.4660819942007,327.8080879768698,293.2498276253609
264.47,1999,9,30,3,273,39,3,1,2,1.2389509403971006,-0.14187522257205404,7.533999919891357,12.73799991607666,259.20133333333274,278.4853333333335,307.21627789449064,325.90794533756366,290.94744141533204
311.562,1999,10,31,4,304,43,6,1,2,2.333394618822022,-1.3660912890686698,47.09199905395508,46.354000091552734,277.65599999999944,279.7325833333334,307.4335639997661,325.4775669774367,292.5966061021055
293.65,1999,11,30,4,334,48,1,1,2,2.538974779567896,0.776802441617093,-17.91200065612793,-25.446001052856445,289.8939999999995,279.68316666666675,306.7443857997778,324.5227399681136,292.6808776139371
283.743,1999,12,31,4,365,52,4,1,2,3.179619431473906,-0.4735515369837119,-9.906999588012695,-56.999000549316406,296.31833333333276,279.04866666666675,305.5943165097888,323.2993477690702,291.96584740482217
284.59,2000,1,31,1,31,5,0,0,0,-2.8304476047377825,1.6112645983554106,0.847000002861023,18.759000778198242,287.32766666666606,278.82008333333346,304.54410068429934,322.1380673359981,291.3757796124364
300.855,2000,2,29,1,60,9,1,0,0,-2.8401144248613797,0.7213902508532265,16.264999389648438,26.171998977661133,289.7293333333328,279.9334166666668,304.35964565008436,321.4995753159181,292.1341172434415
286.704,2000,3,31,1,91,13,4,0,0,-1.9891940560985744,-0.33304278156043704,-14.151000022888184,-14.998000144958496,290.71633333333284,279.97183333333345,303.4768633675801,320.4557080564405,291.6997078639662
279.961,2000,4,30,2,121,17,6,0,0,-1.3250439721168539,-1.474979505601312,-6.743000030517578,-23.007999420166016,289.1733333333329,279.7502500000001,302.3010701992011,319.2408668147473,290.7606112348489
275.293,2000,5,31,2,152,22,2,0,0,-0.6891702169277785,0.5856348826287101,-4.668000221252441,9.482999801635742,280.6526666666662,279.6136666666668,300.950666689241,317.92243081030483,289.523202336061
285.368,2000,6,30,2,182,26,4,0,0,-0.4788191594649699,-0.582439753516355,10.074999809265137,16.81800079345703,280.2073333333329,281.61083333333346,300.17153335477894,316.94579788599566,289.1907861491761
282.152,2000,7,31,3,213,31,0,1,2,0.6108536222430173,1.5043125468178566,-3.2160000801086426,1.4520001411437988,280.93766666666625,283.77366666666677,299.27055668703997,315.9019839494158,288.62768325724204
274.52299999999997,2000,8,31,3,244,35,3,1,2,1.0412225572922311,0.05803762202991088,-7.629000186920166,-17.70400047302246,280.68099999999953,285.23925000000014,298.03317885268797,314.6606144309333,287.4993085966627
273.676,2000,9,30,3,274,39,5,1,2,1.2515736147550403,-1.1100370141151543,-0.847000002861023,2.36899995803833,276.78366666666625,286.0064166666668,296.8153199100536,313.4310759980053,286.39344390892967
270.405,2000,10,31,4,305,44,1,1,2,2.341246396463027,0.9767152862190578,-3.2709999084472656,4.3580002784729,272.86799999999954,282.57666666666677,295.49480391455086,312.14029371806515,285.1143683962153
265.98900000000003,2000,11,30,4,335,48,3,1,2,2.551597453925836,-0.1913593499260073,-4.415999889373779,-3.568999767303467,270.0233333333329,280.2715833333334,294.0195137188233,310.7557549065232,283.5843389245181
271.892,2000,12,31,4,366,52,6,1,2,3.192242105831845,-1.441713328526812,5.9029998779296875,9.173999786376953,269.4286666666663,279.28400000000005,292.91313803288216,309.5898422593275,282.64895181055664
265.934,2001,1,31,1,31,5,2,0,0,-2.822661581702244,0.6428474887389003,-5.958000183105469,-1.5420002937316895,267.938333333333,277.7293333333334,291.564181131238,308.2801669915477,281.3117556657121
262.018,2001,2,28,1,59,9,2,0,0,-3.0523462794122453,0.03117342987959757,-3.9159998893737793,-9.819000244140625,266.6146666666663,274.49291666666676,290.08687207467614,306.89230198180127,279.76825521245513
263.27299999999997,2001,3,31,1,90,13,5,0,0,-1.9911501937926457,-0.8273386563469246,1.2549999952316284,7.213000297546387,263.7416666666663,272.5403333333334,288.7461784709423,305.58372292234725,278.44863479545876
260.75,2001,4,30,2,120,18,0,0,0,-1.3317710065278592,1.3416929864430271,-2.5230000019073486,1.3929998874664307,262.01366666666627,270.9394166666668,287.3463695473952,304.2387112346768,277.0327440118221
